IdType\tId\tAmazon
UPC\t887276007144\t153.55
UPC\t887276039022\t236.99
UPC\t887276028538\t335.02
UPC\t887276028545\t329.52
UPC\t887276028552\t399.0
UPC\t887899561566\t344.99
UPC\t887899648601\t349.99
UPC\t887899420177\t276.99
UPC\t887899441127\t328.49
UPC\t887899773884\t280.88
UPC\t888793711927\t274.99
UPC\t888793755952\t272.45
UPC\t888793755938\t285.5
UPC\t888793755969\t285.5
UPC\t888793798317\t299.0
UPC\t886227770823\t282.86
UPC\t886227901012\t199.0
UPC\t886227901005\t199.0
UPC\t886227901029\t199.0
ISBN\t0804194726\t15.54
ISBN\t0857522329\t15.71
